year,team,skip,rank,round,champion_share,champion,playoff_rank_1,playoff_rank_2,playoff_rank_3,playoff_rank_4,total_games,games_won,games_lost,points_for,points_against,ends_won,ends_lost,blank_ends,stolen_ends,shot_percentage,last_stone_draw_cm,percentage_games_won,percentage_games_lost,ave_points_for,ave_points_against,ave_ends_won,ave_ends_lost,ave_blank_ends,ave_stolen_ends
2004,Saskatchewan (Anderson),Sherry Anderson,n/a,0,0,0,0,0,0,0,11,7,4,77,52,45,37,15,16,0.8,n/a,0.636363636,0.363636364,7,4.727272727,4.090909091,3.363636364,1.363636364,1.454545455
2004,Alberta (Kleibrink),Shannon Kleibrink,n/a,0,0,0,0,0,0,0,11,6,5,63,66,40,43,8,8,0.79,n/a,0.545454545,0.454545455,5.727272727,6,3.636363636,3.909090909,0.727272727,0.727272727
2004,Newfoundland and Labrador (Cunningham),Cathy Cunningham,n/a,0,0,0,0,0,0,0,11,6,5,79,71,48,43,8,14,0.78,n/a,0.545454545,0.454545455,7.181818182,6.454545455,4.363636364,3.909090909,0.727272727,1.272727273
2004,Nova Scotia (Smith),Heather Smith,n/a,0,0,0,0,0,0,0,11,6,5,69,68,43,46,18,11,0.76,n/a,0.545454545,0.454545455,6.272727273,6.181818182,3.909090909,4.181818182,1.636363636,1
2004,British Columbia (Wheatcroft),Georgina Wheatcroft,n/a,0,0,0,0,0,0,0,11,4,7,69,74,49,47,5,15,0.78,n/a,0.363636364,0.636363636,6.272727273,6.727272727,4.454545455,4.272727273,0.454545455,1.363636364
2004,New Brunswick (Hanlon),Heidi Hanlon,n/a,0,0,0,0,0,0,0,11,2,9,58,82,38,43,9,7,0.71,n/a,0.181818182,0.818181818,5.272727273,7.454545455,3.454545455,3.909090909,0.818181818,0.636363636
2004,Prince Edward Island (Gaudet),Suzanne Gaudet,n/a,0,0,0,0,0,0,0,11,2,9,59,82,38,43,9,7,0.76,n/a,0.181818182,0.818181818,5.363636364,7.454545455,3.454545455,3.909090909,0.818181818,0.636363636
2004,Northwest Territories/Yukon (Stabel),Stacey Stabel,n/a,0,0,0,0,0,0,0,11,1,10,49,91,34,55,9,3,0.71,n/a,0.090909091,0.909090909,4.454545455,8.272727273,3.090909091,5,0.818181818,0.272727273
2003,Prince Edward Island (Gaudet),Suzanne Gaudet,n/a,semi,0.5,0,1,0,0,0,11,10,1,89,61,50,42,10,13,0.8,n/a,0.909090909,0.090909091,8.090909091,5.545454545,4.545454545,3.818181818,0.909090909,1.181818182
2003,Canada (Jones),Colleen Jones,n/a,champion,1,1,0,1,0,0,11,8,3,81,60,49,41,14,10,0.79,n/a,0.727272727,0.272727273,7.363636364,5.454545455,4.454545455,3.727272727,1.272727273,0.909090909
2003,Saskatchewan (Betker),Jan Betker,n/a,quarter,0.25,0,0,0,1,0,11,7,4,75,59,43,47,13,9,0.79,n/a,0.636363636,0.363636364,6.818181818,5.363636364,3.909090909,4.272727273,1.181818182,0.818181818
2003,Newfoundland and Labrador (Cunningham),Cathy Cunningham,n/a,final,0.75,0,0,0,0,1,11,6,5,69,74,46,48,11,7,0.75,n/a,0.545454545,0.454545455,6.272727273,6.727272727,4.181818182,4.363636364,1,0.636363636
2003,New Brunswick (Hanlon),Heidi Hanlon,n/a,0,0,0,0,0,0,0,11,5,6,70,80,48,49,9,8,0.74,n/a,0.454545455,0.545454545,6.363636364,7.272727273,4.363636364,4.454545455,0.818181818,0.727272727
2003,Alberta (Santos),Deb Santos,n/a,0,0,0,0,0,0,0,11,5,6,74,73,47,46,8,12,0.78,n/a,0.454545455,0.545454545,6.727272727,6.636363636,4.272727273,4.181818182,0.727272727,1.090909091
2003,Nova Scotia (McConnery),Nancy McConnery,n/a,0,0,0,0,0,0,0,11,5,6,74,78,45,51,7,6,0.73,n/a,0.454545455,0.545454545,6.727272727,7.090909091,4.090909091,4.636363636,0.636363636,0.545454545
2003,Quebec (Gagnon),Nathalie Gagnon,n/a,0,0,0,0,0,0,0,11,5,6,66,75,45,50,10,10,0.71,n/a,0.454545455,0.545454545,6,6.818181818,4.090909091,4.545454545,0.909090909,0.909090909
2003,Ontario (Dunn),Anne Dunn,n/a,0,0,0,0,0,0,0,11,5,6,67,66,48,47,8,14,0.75,n/a,0.454545455,0.545454545,6.090909091,6,4.363636364,4.272727273,0.727272727,1.272727273
2003,British Columbia (Fister),Toni Fister,n/a,0,0,0,0,0,0,0,11,4,7,62,75,42,50,10,9,0.73,n/a,0.363636364,0.636363636,5.636363636,6.818181818,3.818181818,4.545454545,0.909090909,0.818181818
2003,Manitoba (Spencer),Barb Spencer,n/a,0,0,0,0,0,0,0,11,4,7,72,71,46,47,9,11,0.73,n/a,0.363636364,0.636363636,6.545454545,6.454545455,4.181818182,4.272727273,0.818181818,1
2003,Northwestern Territories/Yukon (Moses),Dawn Moses,n/a,0,0,0,0,0,0,0,11,2,9,69,87,50,43,8,11,0.73,n/a,0.181818182,0.818181818,6.272727273,7.909090909,4.545454545,3.909090909,0.727272727,1
